Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Andorra,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Andorra,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Andorra,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Andorra,Overview,UNFCCC Process,,,pa_ratified_date,24-Mar-17,CAIT,Date of ratification
Andorra,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Angola,Overview,UNFCCC Process,,,revised,No NDC submited yet,CAIT,Revised from previous submission
Angola,Overview,UNFCCC Process,,,submission_date,11/29/2015,CAIT,Latest submission date
Angola,Overview,UNFCCC Process,,,submission,INDC Submitted,CAIT,Latest submission
Angola,Overview,UNFCCC Process,,,pa_status,Signed Agreement,CAIT,Status of ratification
Angola,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Angola,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Angola,Overview,UNFCCC Process,,,pa_ratified,No,CAIT,Ratified
Antigua and Barbuda,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Antigua and Barbuda,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Antigua and Barbuda,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Antigua and Barbuda,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Antigua and Barbuda,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Antigua and Barbuda,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Antigua and Barbuda,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Antigua and Barbuda,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Argentina,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Argentina,Overview,UNFCCC Process,,,submission_date,11/17/2016,CAIT,Latest submission date
Argentina,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Argentina,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Argentina,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Argentina,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Argentina,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Argentina,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Armenia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Armenia,Overview,UNFCCC Process,,,submission_date,3/23/2017,CAIT,Latest submission date
Armenia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Armenia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Armenia,Overview,UNFCCC Process,,,pa_sign_date,20-Sep-16,CAIT,Date of signature
Armenia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Armenia,Overview,UNFCCC Process,,,pa_ratified_date,23-Feb-17,CAIT,Date of ratification
Armenia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Australia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Australia,Overview,UNFCCC Process,,,submission_date,11/9/2016,CAIT,Latest submission date
Australia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Australia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Australia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Australia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Australia,Overview,UNFCCC Process,,,pa_ratified_date,9-Nov-16,CAIT,Date of ratification
Australia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Austria,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Austria,Overview,UNFCCC Process,,,submission_date,10/5/2016,CAIT,Latest submission date
Austria,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Austria,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Austria,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Austria,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Austria,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
Austria,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Azerbaijan,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Azerbaijan,Overview,UNFCCC Process,,,submission_date,1/9/2017,CAIT,Latest submission date
Azerbaijan,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Azerbaijan,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Azerbaijan,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Azerbaijan,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Azerbaijan,Overview,UNFCCC Process,,,pa_ratified_date,9-Jan-17,CAIT,Date of ratification
Azerbaijan,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bahamas,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Bahamas,Overview,UNFCCC Process,,,submission_date,10/31/2016,CAIT,Latest submission date
Bahamas,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bahamas,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bahamas,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bahamas,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bahamas,Overview,UNFCCC Process,,,pa_ratified_date,22-Aug-16,CAIT,Date of ratification
Bahamas,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bahrain,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Bahrain,Overview,UNFCCC Process,,,submission_date,12/30/2016,CAIT,Latest submission date
Bahrain,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bahrain,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bahrain,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bahrain,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bahrain,Overview,UNFCCC Process,,,pa_ratified_date,23-Dec-16,CAIT,Date of ratification
Bahrain,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bangladesh,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Bangladesh,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Bangladesh,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bangladesh,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bangladesh,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bangladesh,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bangladesh,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Bangladesh,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Barbados,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Barbados,Overview,UNFCCC Process,,,submission_date,4/22/2016,CAIT,Latest submission date
Barbados,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Barbados,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Barbados,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Barbados,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Barbados,Overview,UNFCCC Process,,,pa_ratified_date,22-Apr-16,CAIT,Date of ratification
Barbados,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Belarus,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Belarus,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Belarus,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Belarus,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Belarus,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Belarus,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Belarus,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Belarus,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Belgium,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Belgium,Overview,UNFCCC Process,,,submission_date,4/6/2017,CAIT,Latest submission date
Belgium,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Belgium,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Belgium,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Belgium,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Belgium,Overview,UNFCCC Process,,,pa_ratified_date,6-Apr-17,CAIT,Date of ratification
Belgium,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Belize,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Belize,Overview,UNFCCC Process,,,submission_date,4/20/2016,CAIT,Latest submission date
Belize,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Belize,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Belize,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Belize,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Belize,Overview,UNFCCC Process,,,pa_ratified_date,22-Apr-16,CAIT,Date of ratification
Belize,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Benin,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Benin,Overview,UNFCCC Process,,,submission_date,10/11/2017,CAIT,Latest submission date
Benin,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Benin,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Benin,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Benin,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Benin,Overview,UNFCCC Process,,,pa_ratified_date,31-Oct-16,CAIT,Date of ratification
Benin,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bhutan,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Bhutan,Overview,UNFCCC Process,,,submission_date,9/19/2017,CAIT,Latest submission date
Bhutan,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bhutan,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bhutan,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bhutan,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bhutan,Overview,UNFCCC Process,,,pa_ratified_date,19-Sep-17,CAIT,Date of ratification
Bhutan,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bolivia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Bolivia,Overview,UNFCCC Process,,,submission_date,10/5/2016,CAIT,Latest submission date
Bolivia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bolivia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bolivia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bolivia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bolivia,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
Bolivia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bosnia and Herzegovina,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Bosnia and Herzegovina,Overview,UNFCCC Process,,,submission_date,3/16/2017,CAIT,Latest submission date
Bosnia and Herzegovina,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bosnia and Herzegovina,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bosnia and Herzegovina,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bosnia and Herzegovina,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bosnia and Herzegovina,Overview,UNFCCC Process,,,pa_ratified_date,16-Mar-17,CAIT,Date of ratification
Bosnia and Herzegovina,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Botswana,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Botswana,Overview,UNFCCC Process,,,submission_date,11/11/2016,CAIT,Latest submission date
Botswana,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Botswana,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Botswana,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Botswana,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Botswana,Overview,UNFCCC Process,,,pa_ratified_date,11-Nov-16,CAIT,Date of ratification
Botswana,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Brazil,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Brazil,Overview,UNFCCC Process,,,submission_date,9/21/2016,CAIT,Latest submission date
Brazil,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Brazil,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Brazil,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Brazil,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Brazil,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Brazil,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Brunei,Overview,UNFCCC Process,,,revised,No NDC submited yet,CAIT,Revised from previous submission
Brunei,Overview,UNFCCC Process,,,submission_date,12/1/2015,CAIT,Latest submission date
Brunei,Overview,UNFCCC Process,,,submission,INDC Submitted,CAIT,Latest submission
Brunei,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Brunei,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Brunei,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Brunei,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-16,CAIT,Date of ratification
Brunei,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Bulgaria,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Bulgaria,Overview,UNFCCC Process,,,submission_date,11/29/2016,CAIT,Latest submission date
Bulgaria,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Bulgaria,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Bulgaria,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Bulgaria,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Bulgaria,Overview,UNFCCC Process,,,pa_ratified_date,29-Nov-16,CAIT,Date of ratification
Bulgaria,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Burkina Faso,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Burkina Faso,Overview,UNFCCC Process,,,submission_date,11/11/2016,CAIT,Latest submission date
Burkina Faso,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Burkina Faso,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Burkina Faso,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Burkina Faso,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Burkina Faso,Overview,UNFCCC Process,,,pa_ratified_date,11-Nov-16,CAIT,Date of ratification
Burkina Faso,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Burundi,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Burundi,Overview,UNFCCC Process,,,submission_date,1/19/2018,CAIT,Latest submission date
Burundi,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Burundi,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Burundi,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Burundi,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Burundi,Overview,UNFCCC Process,,,pa_ratified_date,17-Jan-18,CAIT,Date of ratification
Burundi,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Cambodia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Cambodia,Overview,UNFCCC Process,,,submission_date,2/6/2017,CAIT,Latest submission date
Cambodia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Cambodia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Cambodia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Cambodia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Cambodia,Overview,UNFCCC Process,,,pa_ratified_date,6-Feb-17,CAIT,Date of ratification
Cambodia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Cameroon,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Cameroon,Overview,UNFCCC Process,,,submission_date,7/29/2016,CAIT,Latest submission date
Cameroon,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Cameroon,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Cameroon,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Cameroon,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Cameroon,Overview,UNFCCC Process,,,pa_ratified_date,29-Jul-16,CAIT,Date of ratification
Cameroon,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Canada,Overview,UNFCCC Process,,,revised,Yes,CAIT,Revised from previous submission
Canada,Overview,UNFCCC Process,,,submission_date,11/5/2016,CAIT,Latest submission date
Canada,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Canada,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Canada,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Canada,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Canada,Overview,UNFCCC Process,,,pa_ratified_date,5-Oct-16,CAIT,Date of ratification
Canada,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Cape Verde,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Cape Verde,Overview,UNFCCC Process,,,submission_date,9/21/2017,CAIT,Latest submission date
Cape Verde,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Cape Verde,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Cape Verde,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Cape Verde,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Cape Verde,Overview,UNFCCC Process,,,pa_ratified_date,21-Sep-17,CAIT,Date of ratification
Cape Verde,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Central African Republic,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Central African Republic,Overview,UNFCCC Process,,,submission_date,10/11/2016,CAIT,Latest submission date
Central African Republic,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Central African Republic,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Central African Republic,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Central African Republic,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Central African Republic,Overview,UNFCCC Process,,,pa_ratified_date,11-Oct-16,CAIT,Date of ratification
Central African Republic,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Chad,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Chad,Overview,UNFCCC Process,,,submission_date,1/12/2017,CAIT,Latest submission date
Chad,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Chad,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Chad,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Chad,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Chad,Overview,UNFCCC Process,,,pa_ratified_date,12-Jan-17,CAIT,Date of ratification
Chad,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Chile,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Chile,Overview,UNFCCC Process,,,submission_date,2/10/2017,CAIT,Latest submission date
Chile,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Chile,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Chile,Overview,UNFCCC Process,,,pa_sign_date,20-Sep-16,CAIT,Date of signature
Chile,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Chile,Overview,UNFCCC Process,,,pa_ratified_date,10-Feb-17,CAIT,Date of ratification
Chile,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
China,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
China,Overview,UNFCCC Process,,,submission_date,9/3/2016,CAIT,Latest submission date
China,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
China,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
China,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
China,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
China,Overview,UNFCCC Process,,,pa_ratified_date,3-Sep-16,CAIT,Date of ratification
China,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Colombia,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Colombia,Overview,UNFCCC Process,,,submission_date,7/12/2018,CAIT,Latest submission date
Colombia,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Colombia,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Colombia,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Colombia,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Colombia,Overview,UNFCCC Process,,,pa_ratified_date,12-Jul-18,CAIT,Date of ratification
Colombia,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Comoros,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Comoros,Overview,UNFCCC Process,,,submission_date,11/23/2016,CAIT,Latest submission date
Comoros,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Comoros,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Comoros,Overview,UNFCCC Process,,,pa_sign_date,22-Apr-16,CAIT,Date of signature
Comoros,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Comoros,Overview,UNFCCC Process,,,pa_ratified_date,23-Nov-16,CAIT,Date of ratification
Comoros,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Cook Islands,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Cook Islands,Overview,UNFCCC Process,,,submission_date,9/1/2016,CAIT,Latest submission date
Cook Islands,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Cook Islands,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
Cook Islands,Overview,UNFCCC Process,,,pa_sign_date,24-Jun-16,CAIT,Date of signature
Cook Islands,Overview,UNFCCC Process,,,pa_sign,Yes,CAIT,Signed
Cook Islands,Overview,UNFCCC Process,,,pa_ratified_date,1-Sep-16,CAIT,Date of ratification
Cook Islands,Overview,UNFCCC Process,,,pa_ratified,Yes,CAIT,Ratified
Costa Rica,Overview,UNFCCC Process,,,revised,No,CAIT,Revised from previous submission
Costa Rica,Overview,UNFCCC Process,,,submission_date,10/13/2016,CAIT,Latest submission date
Costa Rica,Overview,UNFCCC Process,,,submission,First NDC Submitted,CAIT,Latest submission
Costa Rica,Overview,UNFCCC Process,,,pa_status,Joined Agreement,CAIT,Status of ratification
