Type;Description;Is GHG Target?;Year;Base Year Period;Is Single Year Target?;Source;Geography;Geography ISO;Sector;Scopes;Events
base_year_target;Energy valorization to 42% in 2020 against a 2017 baseline;No;2020;2017;No;law;Andorra;AND;Energy;Energy Efficiency;
base_year_target;Objectives of installed renewable energy power in 2013 (110 MW), 2015 (650 MW), 2020 (2 600 MW and potential for exportations fo 2 000 MW), 2030 (120 000 MW and 10 000 MW for exports);No;2020;2010;No;law;Andorra;AND;Economy-wide;Economy Wide;
baseline_scenario_target;37% (193.73 Gg CO2eq) reduction in 2030 compared to the BAU scenario;No;2030;business as usual scenario;No;ndc;Andorra;AND;Economy-wide;Economy Wide;
fixed_level_target;15,305 tonnes of GHG from manufacturing in 2014, 15,755 tonnes in 2015, 16,950 tonnes in 2016 and 17,350 tonnes in 2017;No;2017;N/A;No;law;Angola;AGO;Industry;General;
base_year_target;30 energy efficiency and carbon capture projects in 2012, 10 in 2013, 15 in 2014, 5 in 2015, 10 in 2016 and 20 in 2017;No;2017;N/A;No;law;Angola;AGO;Energy;Energy Efficiency;
baseline_scenario_target;Up to 35% (uncondtional) to 50% (conditional) reduction in GHG emissions by 2030 as compared to the BAU scenario;No;2030;business as usual scenario;No;ndc;Angola;AGO;Economy-wide;Economy Wide;
;Generate 5000 megawatts power from 2013 to 2017;No;2017;;No;ndc;Angola;AGO;Energy;Power System Planning;
;Produce 100 megawatts of solar power to all rural areas by 2025;No;2025;;No;ndc;Angola;AGO;Energy;Renewable Energy: Solar;
;Increase carbon sink to 5 MtCO2e per year by 2030;No;2030;;No;ndc;Angola;AGO;LULUCF;LULUCF/Forestry: General;
base_year_target;Improve energy efficiency in the transport sector by 40% through economic incentives to fast track the migration of public and private fossil powered vehicles to low carbon technologies  by 2026 compared with 2011 baseline;No;2026;2011;No;law;Antigua and Barbuda;ATG;Transportation;Energy Efficiency;
fixed_level_target;Share of renewable energy to be al least: 5% by 2015, 10% by 2020 and 15% by 2030;No;2030;N/A;No;law;Antigua and Barbuda;ATG;Energy;Renewable Energy;
base_year_target;Government reducing energy consumption and costs by 30% by 2021 compared with 2011 baseline;No;2021;2011;No;law;Antigua and Barbuda;ATG;Energy;Energy Efficiency;
intensity_target;Overall energy intensity at least 10% below 2010 baseline by 2021;No;2021;2010;No;law;Antigua and Barbuda;ATG;Energy;Energy Intensity;
base_year_target;Improve energy efficiency in government and public facilities, industrial plants and other large users by 30% by 2026 against a 2011 baseline;No;2026;2011? (not clear in document);No;law;Antigua and Barbuda;ATG;Energy;Energy Efficiency;
;(Conditonal target) By 2030, an affordable insurance scheme is available for farmers,  fishers, and residential and business  owners to cope with losses resulting from climate variability.;No;2030;;No;ndc;Antigua and Barbuda;ATG;Disaster Risk Management (Drm);Disaster Preparedness;
;(Conditional target) By 2030, 100% of electricity demand in the water sector and other essential services (including health, food  storage and emergency services) will be met  through off-grid renewable sources to enhance resilience to drought and hurricanes.;No;2030;;No;ndc;Antigua and Barbuda;ATG;Energy;Renewable Energy;
;(Conditional target) By 2025, increase seawater desalination capacity by 50% above 2015 levels, from approximately 5.4 million to over 8 million US gallons per day (GPD) to  counteract freshwater scarcity in Antigua and Barbuda.;No;2025;;No;ndc;Antigua and Barbuda;ATG;Water;Water Supply;
fixed_level_target;8% share of renewable sources in electric generation by 2016;No;2016;N/A;No;law;Argentina;ARG;Energy;Renewable Energy;
fixed_level_target;8% share of renewable sources in electric generation by 2017, 12% by 2019, 16% by 2021;;;;;;;;;;
fixed_level_target;Not exceed a net emission of 483 (unconditional) million tCO2eq by the year 2030;;;;;;;;;;
;20.1% forest cover by 2050 and expand impact of carbon conservation and sequestration until 2100;No;2100;;No;ndc;Armenia;ARM;LULUCF;LULUCF/Forestry: General;
intensity_target;Increase energy productivity by 40% by 2030 compared with a from 2015 and against business as usual scenario;No;2030;Business as usual scenario;No;law;Australia;AUS;Energy;Energy Intensity;
base_year_target;26% to 28% reduction in GHG emissions by 2030 compared to 2005 levels;No;2030;2005;No;ndc;Australia;AUS;Economy-wide;Economy Wide;
fixed_level_target;25% renewable of total energy by 2010, then 45% by 2020;No;2020;2010, 2020;No;law;Austria;AUT;Energy;Renewable Energy;
fixed_level_target;1000MW Hydro, 2000MW Wind, 200MW Biomass and biogas, 1200MW Solar energy productions increased by 2020 against a 2010 baseline;No;2020;2010;No;law;Austria;AUT;Energy;Renewable Energy;
fixed_level_target;80% renewable of total electricity production by 2010, then 85% by 2020;No;2020;2010, 2020;No;law;Austria;AUT;Energy;Renewable Energy;
fixed_level_target;34% renewables of final gross energy consumption by 2020;No;2020;2020;No;law;Austria;AUT;Energy;Renewable Energy;
intensity_target;5vH energy intensity improvement, then 20vH by 2010, 2020;No;2020;2010, 2020;No;law;Austria;AUT;Energy;Energy Intensity;
base_year_target;310 petajoules saved by energy efficiency (159 from suppliers, 151 from strategic measures);;;;;;;;;;
base_year_target;48.2 GWh (3% annual) energy efficiency refurbishment by 2020 against a 2014 baseline;No;2020;2014;No;law;Austria;AUT;Buildings;Energy Efficiency;
base_year_target;Energy suppliers undertake at least 40% energy efficiency measures in customer households by 2020 against a 2015 baseline;No;2020;2015;No;law;Austria;AUT;Buildings;Energy Efficiency;
base_year_target;1.5% efficiency increase of final energy consumption annually by 2020 against a 2014 baseline;No;2020;2014;No;law;Austria;AUT;Energy;Energy Efficiency;
base_year_target;20% energy efficiency  by 2020;No;2020;2020;No;law;Austria;AUT;Energy;Energy Efficiency;
base_year_target;No more than 1,050 petajoules consumed annually by 2020;No;2020;2020;No;law;Austria;AUT;Energy;Energy Efficiency;
base_year_target;Stabilise energy use at 1,100 PJ by 2020;No;2020;2020;No;law;Austria;AUT;Energy;Energy Efficiency;
base_year_target;13% cut in GHG emissions by 2012 compared with a 1990 baseline;No;2012;1990;No;law;Austria;AUT;Economy-wide;Economy Wide;
base_year_target;16% GHG emissions reductions in non-ETS sectors by 2020 compared with a 2005 baselie;No;2020;2005;No;law;Austria;AUT;Economy-wide;Economy Wide;
base_year_target;The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990;No;2030;1990;No;ndc;Austria;AUT;Economy-wide;Economy Wide;
fixed_level_target;Increase of forested area from 11% to as much as 20% of total area of country by 2030;No;2030;2015;No;law;Azerbaijan;AZE;LULUCF;Afforestation;
base_year_target;20% decrease in conditional fuel used for 1 kw of energy by 2015 against a 2006 baseline;No;2015;2006;No;law;Azerbaijan;AZE;Energy;Energy Efficiency;
;Compliance with international standards by 2050;No;2050;;No;ndc;Azerbaijan;AZE;Energy;Gas;
fixed_level_target;30% of renewable sources in the energy mix by 2033;No;2033;N/A;No;law;Bahamas, The;BHS;Energy;Renewable Energy;
base_year_target;10% Residential Energy Self Generation Programme by 2014;No;2014;N/A;No;law;Bahamas, The;BHS;Buildings;Energy Efficiency;
;Provide for the protection of 20% of our near shore marine environment by 2020;No;2020;;No;ndc;Bahamas, The;BHS;Environment;Ecosystem And Biodiversity;
;The establishment of a permanent forest estate, 20% of which is designated into either one of three categories (forest reserves, protected forests and conservation forests);No;;;No;ndc;Bahamas, The;BHS;LULUCF;Sustainable Forest Management;
;10% Residential Energy Self Generation Programme within the year;No;;;No;ndc;Bahamas, The;BHS;Energy;Energy: General;
;a minimum of 30% renewables in the energy mix by 2030;No;2030;;No;ndc;Bahamas, The;BHS;Energy;Renewable Energy;
baseline_scenario_target;30% reduction in GHG emissions by 2030 compared to the BAU scenario;No;2030;business as usual scenario;No;ndc;Bahamas, The;BHS;Economy-wide;Economy Wide;
not_applicable;Not Applicable;No;0;N/A;No;ndc;Bahrain;BHR;Economy-wide;Economy Wide;
base_year_target;Increase use of renewable energy by 5% of electricity demand by 2015 against a 2011 baseline;No;2015;2011;No;law;Bangladesh;BGD;Energy;Renewable Energy;
fixed_level_target;5% of the total power demand by 2015 and 10% by 2020 to be provided by renewable energy;No;2020;N/A;No;law;Bangladesh;BGD;Energy;Renewable Energy;
intensity_target;15% of improvement in primary energy consumption per GDP by 2021, and 20% by 2030 by 2021, 2030 against a 2015 baseline;No;2030;2015;No;law;Bangladesh;BGD;Energy;Energy Intensity;
intensity_target;Achieve global best energy intensity in the industrial and building sectors by 2025;No;2025;N/A;No;law;Bangladesh;BGD;Industry;Energy Intensity;
base_year_target;Increase energy efficiency by 10% by 2015 against a 2011 baseline;No;2015;2011;No;law;Bangladesh;BGD;Energy;Energy Efficiency;
baseline_scenario_target;5% (unconditional) to 15% (conditional) reduction in GHG emissions by 2030 compared to the BAU levels;No;2030;business as usual scenario;No;ndc;Bangladesh;BGD;Economy-wide;Economy Wide;
;5% of energy from renewable sources by 2015, and 10% by 2020 (2008Renewable Energy Policy);No;2020;;No;ndc;Bangladesh;BGD;Energy;Renewable Energy;
;20% of all rice cultivation uses alternate wetting and drying irrigation;No;;;No;ndc;Bangladesh;BGD;Agriculture;Climate Smart Agriculture;
;50% of the managed waste fraction diverted from landfill to composting;No;;;No;ndc;Bangladesh;BGD;Waste;Recycling, Reuse, Reduce;
;70% of landfill gas captured and used for electricity generation;No;;;No;ndc;Bangladesh;BGD;Waste;Waste-to-energy;
;Shift in passenger traffic from road to rail of 20% by 2030;No;2030;;No;ndc;Bangladesh;BGD;Transportation;Transport: General;
;+35% in organic fertiliser share compared to the BAU;No;;;No;ndc;Bangladesh;BGD;Agriculture;Fertilizers;
;-50% in draft animals below the BAU;No;;;No;ndc;Bangladesh;BGD;Agriculture;Livestock;
;70% market share of improved biomass cookstoves, reaching 20 million households in 2030;;;;;;;;;;
;-25% in overall energy consumption of the commercial sector below the BAU;No;;;No;ndc;Bangladesh;BGD;Energy;Demand-Side Efficiency: Buildings;
;-10% in energy consumption in the industry sector below the BAU;No;;;No;ndc;Bangladesh;BGD;Energy;Demand-Side Efficiency: Industries;
intensity_target;Reduce energy intensity (per GDP) by 20% by 2030 compared to 2013 levels (E&CC Master Plan);No;2030;;No;ndc;Bangladesh;BGD;Energy;Energy: General;
;Switching to 100% super-critical coal power generation;No;;;No;ndc;Bangladesh;BGD;Energy;Supply-Side Efficiency: Power Generation Efficiency Improvement;
;1000 MW of utility-scale solar power plant;No;0;;No;ndc;Bangladesh;BGD;Energy;Renewable Energy: Solar: Utility Scale;
;400 MW of wind generating capacity by 2030;No;2030;;No;ndc;Bangladesh;BGD;Energy;Renewable Energy: Wind;
baseline_scenario_target;44% reduction by 2030 in GHG emissions compared to the BAU scenario, translating to a 23% reduction compared to 2008 in absolute terms;;;;;;;;;;
;65% of total peak electrical demand from renewables by 2030;No;2030;;No;ndc;Barbados;BRB;Energy;Renewable Energy;
intensity_target;30% decrease in energy intensity of construction by 2015 against a 2009 baseline;No;2015;2009;No;law;Belarus;BLR;Industry;Energy Intensity;
intensity_target;1,015 thousand TCE fuel and energy resources saved annual by 2015 against a 2009 baseline;No;2015;2009;No;law;Belarus;BLR;Industry;Fuels;
intensity_target;10-15% reduction energy intensity of wood products and pulp by 2015 against a 2008 baseline;No;2015;2008;No;law;Belarus;BLR;Industry;Energy Intensity;
intensity_target;50% energy intensity reduction, then 60% by 2015, 2020 against a 2005 baseline;No;2020;2005;No;law;Belarus;BLR;Energy;Energy Intensity;
intensity_target;31% energy intensity of GDP reduction, then 50%, then 60%  by 2010, 2015, 2020 against a 2005 baseline;No;2020;2005;No;law;Belarus;BLR;Energy;Energy Intensity;
fixed_level_target;10 million tonne CO2e reduction by 2020 cagainst a 2013 baseline;No;2020;2013;No;law;Belarus;BLR;Economy-wide;Economy Wide;
base_year_target;8% cut in GHG emissions by 2020 compared with a 1990;No;2020;1990;No;law;Belarus;BLR;Economy-wide;Economy Wide;
base_year_target;At least 28% reduction in GHG emissions by 2030 compared to 1990 (excluding LULUCF) without any conditions.;No;2030;1990;No;ndc;Belarus;BLR;Economy-wide;Economy Wide;
;Conserve the main habitats of the populations of rare and endangered wild animals and plant species living or growing in wetlands, involving an area of at least 30,000 ha of open fen mires, 40,000 ha of floodplain meadows, and 160,000 ha of raised bogs and transitional mires;;;;;;;;;;
;Reducing the area of degraded reclaimed land with peat soils up to 190,000 ha by 2030;No;2030;;No;ndc;Belarus;BLR;LULUCF;Land Degradation;
;Environmental rehabilitation of at least 10,000 ha of damaged bogs, thus increasing the area of restored peatlands to at least 60,000 ha by 2030;No;2030;;No;ndc;Belarus;BLR;LULUCF;Wetlands;
;Increase the area under forest from 39.4% in 2013 up to 41% in 2030;No;2030;;No;ndc;Belarus;BLR;LULUCF;Sustainable Forest Management;
;Increase area of restored peatlands to at least 60,000 ha by 2030 and reduce area of degraded reclaimed land with peat soils up to 190,000 ha by 2030;No;2030;;No;ndc;Belarus;BLR;LULUCF;Peatlands;
;Protect 8.8% of land by 2030;No;2030;;No;ndc;Belarus;BLR;LULUCF;Conservation;
;Increase foreast area from 39.1% in 2013 to 41% in 2030;No;2030;;No;ndc;Belarus;BLR;LULUCF;LULUCF/Forestry: General;
base_year_target;GHG emission reductions in buildings in the residential and tertiary sectors per region by 2030 against a 2015 baseline;No;2030;2015;No;law;Belgium;BEL;Buildings;Energy Efficiency;
fixed_level_target;Create a municipal solid waste energy conversion programme to supply fuel for 5MW of electricity;No;0;N/A;No;law;Belize;BLZ;Waste;Waste-to-energy;
base_year_target;Increase Hydro Power from 55 MW to 70 MW by 2033 compared with 2011;No;2033;2011;No;law;Belize;BLZ;Energy;Renewable Energy;
fixed_level_target;Fast-track pilot project to deploy flash pyrolysis reactors producing 250,000 tonnes of bio-oil from ligno-cellulosic biomass by 2016. Once the technology is well understood, expand production to one million tonnes by 2020;No;2020;N/A;No;law;Belize;BLZ;Energy;Biofuels;
base_year_target;Improve household energy efficiency and conservation by more than 25% through improvement in lighting, cooling and water heating efficiency and conservation by 2033 compared with 2011;No;2033;2011;No;law;Belize;BLZ;Buildings;Energy Efficiency;
base_year_target;Increase Energy Efficiency and conservation in the Hotel & Tourism Industry by 30% by 2033 compared with 2011;No;2033;2011;No;law;Belize;BLZ;Tourism;Energy Efficiency;
base_year_target;Increase electricity consumption efficiency by 30% in commercial buildings by 2033 compared with 2011;No;2033;2011;No;law;Belize;BLZ;Buildings;Energy Efficiency;
base_year_target;Reduce consumption of electricity by 50% from USD 6.8 million to USD 3.4 million, for the provision of cooling and lighting services to public sector buildings by 2033 compared with 2011;No;2033;2011;No;law;Belize;BLZ;Buildings;Energy Efficiency;
base_year_target;Improve energy efficiency and conservation by at least 30% by 2033, using energy utilization and GDP generated in 2011 as the baseline;No;2033;2011;No;law;Belize;BLZ;Energy;Energy Efficiency;
base_year_target;Reduce by 50% the number of rural households that are now using firewood for fuel to other more environmentally friendly biofuels cooking systems such as plant oil and biogas cookers, or solar cookers by 2020;No;2020;2011;No;law;Belize;BLZ;Energy;Biofuels;
base_year_target;Triple the amount of modern energy carriers derived from Agricultural, Forestry and Fisheries production and processing, including municipal solid waste (MSW) by 2020 compared 2011;No;2020;2011;No;law;Belize;BLZ;Energy;Energy Efficiency;
base_year_target;Reduce the country�_s dependence on fossil fuels consumption by 50% by 2020, from one million barrels to one-half million barrels by 2020 against a 2011 baseline;No;2020;2011;No;law;Belize;BLZ;Energy;Renewable Energy;
not_applicable;Not Applicable;No;0;N/A;No;ndc;Belize;BLZ;Economy-wide;Economy Wide;
;85% renewable energy by 2030 by implementing hydropower, solar, wind and biomass, and reduction of transmission and distribution losses.;No;2030;;No;ndc;Belize;BLZ;Energy;Renewable Energy: Biofuels;
base_year_target;Reduction in transmission and distribution losses from 12% to 7% by 2030 resulting in electricity savings.;No;2030;;No;ndc;Belize;BLZ;Energy;Energy Efficiency;
;85% renewable energy by 2030 by implementing hydropower, solar, wind and biomass, and reduction of transmission and distribution losses.;No;2030;;No;ndc;Belize;BLZ;Energy;Renewable Energy: Solar;
;85% renewable energy by 2030 by implementing hydropower, solar, wind and biomass, and reduction of transmission and distribution losses.;No;2030;;No;ndc;Belize;BLZ;Energy;Renewable Energy: Hydro;
intensity_target;Reduction in energy intensity per capita at least by 30% by 2033 and to reduce fuels imports dependency by 50% by 2020 using renewable energy.;No;2033;;No;ndc;Belize;BLZ;Energy;Renewable Energy;
;At least a 20% reduction in conventional transportation fuel use by 2030;No;2030;;No;ndc;Belize;BLZ;Transportation;Transport: General;
;Achieve a reduction of fuel wood consumption by 27%-66%;No;;;No;ndc;Belize;BLZ;Energy;Clean Cooking And Heating: Efficient Cookstoves;
;Reduce emissions from land use and forestry from the 2015 estimate of 3, 300Gg CO2 to zero emissions sometime in the future and turn the sector into a sink.;No;;;No;ndc;Belize;BLZ;LULUCF;Sustainable Forest Management;
fixed_level_target;Sequestration of at least 163 million tonnes of CO2eq by 2030;No;2030;2016;No;law;Benin;BEN;Economy-wide;Economy Wide;
fixed_level_target;Avoid the emission of at least 12 million tonnes of CO2eq by 2030 against a 2016 baseline;No;2030;2016;No;law;Benin;BEN;Economy-wide;Economy Wide;
baseline_scenario_target;49.49 MtCO2e, or 16.17% reduction in overall cumulative GHG emissions (excluding forestry sector) 2021-2030 compared to the BAU scenario;;;;;;;;;;
;development of 500 ha of reclamation perimeters;No;;;No;ndc;Benin;BEN;Agriculture;Irrigation;
;At least a 50 per cent increase in current levels of agricultural productivity by 2025;No;2025;;No;ndc;Benin;BEN;Social development;Poverty Reduction;
;rehabilitation of 200 ha of degraded agricultural land;No;;;No;ndc;Benin;BEN;Agriculture;Land And Soil Management;
;development of 1000 ha of lowlands;No;;;No;ndc;Benin;BEN;Agriculture;Agriculture: General;
;development of 1927 ha of irrigated perimeters;No;;;No;ndc;Benin;BEN;Agriculture;Irrigation;
;300 ha of vegetable gardens for women;No;;;No;ndc;Benin;BEN;Social development;Gender;
;1,000 ha of irrigated perimeter developments with total water control;No;;;No;ndc;Benin;BEN;Agriculture;Irrigation;
;Sustainable management of agro forestry and pastoral resources (2000 ha of improved fallow and agroforestry, 4000 ha of participatory sylvo-pastoral plantations in classified forests);No;;;No;ndc;Benin;BEN;LULUCF;Sustainable Land Management;
;Establishment of 2000 ha of plantations to provide biomass;No;;;No;ndc;Benin;BEN;LULUCF;Sustainable Forest Management;
;Sustainable management of forests and land through restoration of land and forest plantations on 3000 ha;No;;;No;ndc;Benin;BEN;LULUCF;Sustainable Forest Management;
;Realization of 300 green spaces in cities;No;;;No;ndc;Benin;BEN;LULUCF;Afforestation;
;Achievement, maintenance and silvicultural monitoring of 700,000 linear meters of alignment plantations in urban and peri-urban areas;No;;;No;ndc;Benin;BEN;LULUCF;Conservation;
;Implementation, maintenance and silvicultural monitoring of 800 ha of private, communal plantations;No;;;No;ndc;Benin;BEN;LULUCF;Conservation;
;Achievement, maintenance and silvicultural monitoring of 20 000 ha of plantations and / or enrichment in classified forests and reforestation perimeters;No;;;No;ndc;Benin;BEN;LULUCF;Conservation;
;Electrification of 17 rural localities by connection to the conventional network of the SBEE;No;;;No;ndc;Benin;BEN;Energy;Energy: General;
;Implementation of a reforestation plan with the objective of creating 15,000 ha of forest plantation per year.;No;;;No;ndc;Benin;BEN;LULUCF;Reforestation;
;Protection and conservation of natural forests and existing plantations to reduce and maintain the rate of deforestation to 35,000 ha / year instead of 60,000 ha / year currently.;No;;;No;ndc;Benin;BEN;LULUCF;Conservation;
;Promotion of the access of 275,000 new households to cooking equipment using domestic gas: by subsidizing the acquisition cost of small equipment of 6 Kg + burner up to 30%.;No;;;No;ndc;Benin;BEN;Energy;Clean Cooking And Heating;
;Promotion of the economic use of energy and energy through the access of 140,000 new households to improved stoves.;No;;;No;ndc;Benin;BEN;Energy;Clean Cooking And Heating: Efficient Cookstoves;
;Promotion of the access of 424,000 households using kerosene for electricity lighting in the localities that will be connected to the networks of the Soci�t� Beno��t d'Energie Electrique (SBEE);No;;;No;ndc;Benin;BEN;Energy;Energy: General;
;Electrification of locations by connection to the network (in total 600 localities between 2021 and 2030).;No;2030;;No;ndc;Benin;BEN;Energy;Energy: General;
;Installation of solar PV farms with a total capacity of 95 MWp;No;0;;No;ndc;Benin;BEN;Energy;Renewable Energy: Solar;
;Development and irrigation of 52,000 ha of rice plots with water control.;No;;;No;ndc;Benin;BEN;Agriculture;Agriculture: General;
;Construction of 180 water reservoirs.;No;;;No;ndc;Benin;BEN;Agriculture;Agriculture: General;
;Development of 96,500 ha of agricultural���;No;;;No;ndc;Benin;BEN;Agriculture;Agriculture: General;
;Implementation of techniques for maintaining soil fertility over an area���of 500,000 ha / year.;No;;;No;ndc;Benin;BEN;Agriculture;Soils;
;Implementation of improved farming techniques over an area���of 500,000 ha���/ year.;No;;;No;ndc;Benin;BEN;Agriculture;Agriculture: General;
;Increase the cumulative cumulative sequestration capacity in the LULUCF sector by 8.1 MtCO2e compared to the status quo  through creatation of forest plantations over the period from 2021 to 2030;No;2030;;No;ndc;Benin;BEN;LULUCF;Afforestation;
;Increase the cumulative cumulative sequestration capacity in the LULUCF sector by 23.9 MtCO2e compared to the status quo  through limitation of deforestation over the period from 2021 to 2030;No;2030;;No;ndc;Benin;BEN;LULUCF;Conservation;
;Increase the cumulative cumulative sequestration capacity in the LULUCF sector by up to 32 MtCO2e compared to the status quo over the period from 2021 to 2030;No;2030;;No;ndc;Benin;BEN;LULUCF;LULUCF/Forestry: General;
;Reduce the cumulative greenhouse gas emissions in the agriculture sector by 31.31% compared to the status quo over the period from 2021 to 2030;No;2030;;No;ndc;Benin;BEN;Agriculture;Agriculture: General;
;Reduce the cumulative greenhouse gas emissions in the energy sector by 11.51% compared to the status quo over the period from 2021 to 2030;No;2030;;No;ndc;Benin;BEN;Energy;Energy: General;
fixed_level_target;5,000 MW hydropower generation by 2022;No;2022;2022;No;law;Bhutan;BTN;Energy;Renewable Energy;
fixed_level_target;10,000 MW hydropower generation by 2020;No;2020;2020;No;law;Bhutan;BTN;Energy;Renewable Energy;
fixed_level_target;60% total land  forested;No;0;N/A;No;law;Bhutan;BTN;LULUCF;Afforestation;
fixed_level_target;Remain carbon neutral where GHG emission will not exceed sequestration by forests, which is estimated at 6.3 million tons of CO2;No;2100;N/A;No;ndc;Bhutan;BTN;Economy-wide;Economy Wide;
;Offset 22.4 MtCO2e per year by 2025 through export of hydropower;No;2025;;No;ndc;Bhutan;BTN;Energy;Energy: General;
not_applicable;Not Applicable;No;0;N/A;No;ndc;Bolivia;BOL;Economy-wide;Economy Wide;
;Strengthened environmental functions (carbon capture and storage, organic matter and soil fertility, biodiversity conservation and water availability) in about 29 million hectares by 2030.;No;2030;;No;ndc;Bolivia;BOL;Environment;Ecosystem And Biodiversity;
;Conditional target:|Increased reforestation by 6 million hectares by 2030.;No;2030;;No;ndc;Bolivia;BOL;LULUCF;Reforestation;
